     0.000000000000E+00     0.928839930618E-07
     0.200000000000E-01    -0.414031388698E-06
     0.400000000000E-01    -0.155205534157E-05
     0.600000000000E-01    -0.494751340625E-05
     0.800000000000E-01    -0.147308681321E-04
     0.100000000000E+00    -0.410789941123E-04
     0.120000000000E+00    -0.106772164946E-03
     0.140000000000E+00    -0.256978137607E-03
     0.160000000000E+00    -0.569582000459E-03
     0.180000000000E+00    -0.114806210492E-02
     0.200000000000E+00    -0.208457438392E-02
     0.220000000000E+00    -0.334374661575E-02
     0.240000000000E+00    -0.457054353382E-02
     0.260000000000E+00    -0.511381637332E-02
     0.280000000000E+00    -0.390765609461E-02
     0.300000000000E+00    -0.362867353676E-03
     0.320000000000E+00     0.398034328806E-02
     0.340000000000E+00     0.806192810086E-02
     0.360000000000E+00     0.939747227435E-02
     0.380000000000E+00     0.287832371133E-02
     0.400000000000E+00    -0.263299509693E-02
     0.420000000000E+00     0.372781226073E-02
     0.440000000000E+00     0.186591225267E-02
     0.460000000000E+00    -0.173708953290E-01
     0.480000000000E+00    -0.897956470082E-02
     0.500000000000E+00     0.410678403564E-01
     0.520000000000E+00     0.481993852792E-01
     0.540000000000E+00    -0.518593222286E-01
     0.560000000000E+00    -0.165945360058E+00
     0.580000000000E+00    -0.118171608089E+00
     0.600000000000E+00     0.153547143907E+00
     0.620000000000E+00     0.528453136381E+00
     0.640000000000E+00     0.816954592962E+00
     0.660000000000E+00     0.906746991502E+00
     0.680000000000E+00     0.809729336885E+00
     0.700000000000E+00     0.612348461481E+00
     0.720000000000E+00     0.403896017292E+00
     0.740000000000E+00     0.236912355110E+00
     0.760000000000E+00     0.125313967748E+00
     0.780000000000E+00     0.604085808013E-01
     0.800000000000E+00     0.267618428731E-01
     0.820000000000E+00     0.109701278757E-01
     0.840000000000E+00     0.418462506367E-02
     0.860000000000E+00     0.149261969885E-02
     0.880000000000E+00     0.499920533437E-03
     0.900000000000E+00     0.157794870998E-03
     0.920000000000E+00     0.470886089433E-04
     0.940000000000E+00     0.133214992079E-04
     0.960000000000E+00     0.357455642831E-05
     0.980000000000E+00     0.882976660753E-06
